date,mkt_open,weekday
2017-06-25,False,False
2017-06-26,True,True
2017-06-27,True,True
2017-06-28,True,True
2017-06-29,True,True
2017-06-30,True,True
2017-07-01,False,False
2017-07-02,False,False
2017-07-03,True,True
2017-07-04,True,True
2017-07-05,True,True
2017-07-06,True,True
2017-07-07,True,True
2017-07-08,False,False
2017-07-09,False,False
2017-07-10,True,True
2017-07-11,True,True
2017-07-12,True,True
2017-07-13,True,True
2017-07-14,True,True
2017-07-15,False,False
2017-07-16,False,False
2017-07-17,True,True
2017-07-18,True,True
2017-07-19,True,True
2017-07-20,True,True
2017-07-21,True,True
2017-07-22,False,False
2017-07-23,False,False
2017-07-24,True,True
2017-07-25,True,True
2017-07-26,True,True
2017-07-27,True,True
2017-07-28,True,True
2017-07-29,False,False
2017-07-30,False,False
2017-07-31,True,True
2017-08-01,True,True
2017-08-02,True,True
2017-08-03,True,True
2017-08-04,True,True
2017-08-05,False,False
2017-08-06,False,False
2017-08-07,True,True
2017-08-08,True,True
2017-08-09,True,True
2017-08-10,True,True
2017-08-11,True,True
2017-08-12,False,False
2017-08-13,False,False
2017-08-14,True,True
2017-08-15,True,True
2017-08-16,True,True
2017-08-17,True,True
2017-08-18,True,True
2017-08-19,False,False
2017-08-20,False,False
2017-08-21,True,True
2017-08-22,True,True
2017-08-23,True,True
2017-08-24,True,True
2017-08-25,True,True
2017-08-26,False,False
2017-08-27,False,False
2017-08-28,True,True
2017-08-29,True,True
2017-08-30,True,True
2017-08-31,True,True
2017-09-01,True,True
2017-09-02,False,False
2017-09-03,False,False
2017-09-04,True,True
2017-09-05,True,True
2017-09-06,True,True
2017-09-07,True,True
2017-09-08,True,True
2017-09-09,False,False
2017-09-10,False,False
2017-09-11,True,True
2017-09-12,True,True
2017-09-13,True,True
2017-09-14,True,True
2017-09-15,True,True
2017-09-16,False,False
2017-09-17,False,False
2017-09-18,True,True
2017-09-19,True,True
2017-09-20,True,True
2017-09-21,True,True
2017-09-22,True,True
2017-09-23,False,False
2017-09-24,False,False
2017-09-25,True,True
2017-09-26,True,True
2017-09-27,True,True
2017-09-28,True,True
2017-09-29,True,True
2017-09-30,False,False
2017-10-01,False,False
2017-10-02,True,True
2017-10-03,True,True
2017-10-04,True,True
2017-10-05,True,True
2017-10-06,True,True
2017-10-07,False,False
2017-10-08,False,False
2017-10-09,True,True
2017-10-10,True,True
2017-10-11,True,True
2017-10-12,True,True
2017-10-13,True,True
2017-10-14,False,False
2017-10-15,False,False
2017-10-16,True,True
2017-10-17,True,True
2017-10-18,True,True
2017-10-19,True,True
2017-10-20,True,True
2017-10-21,False,False
2017-10-22,False,False
2017-10-23,True,True
2017-10-24,True,True
2017-10-25,True,True
2017-10-26,True,True
2017-10-27,True,True
2017-10-28,False,False
2017-10-29,False,False
2017-10-30,True,True
2017-10-31,True,True
2017-11-01,True,True
2017-11-02,True,True
2017-11-03,True,True
2017-11-04,False,False
2017-11-05,False,False
2017-11-06,True,True
2017-11-07,True,True
2017-11-08,True,True
2017-11-09,True,True
2017-11-10,True,True
2017-11-11,False,False
2017-11-12,False,False
2017-11-13,True,True
2017-11-14,True,True
2017-11-15,True,True
2017-11-16,True,True
2017-11-17,True,True
2017-11-18,False,False
2017-11-19,False,False
2017-11-20,True,True
2017-11-21,True,True
2017-11-22,True,True
2017-11-23,True,True
2017-11-24,True,True
2017-11-25,False,False
2017-11-26,False,False
2017-11-27,True,True
2017-11-28,True,True
2017-11-29,True,True
2017-11-30,True,True
2017-12-01,True,True
2017-12-02,False,False
2017-12-03,False,False
2017-12-04,True,True
2017-12-05,True,True
2017-12-06,True,True
2017-12-07,True,True
2017-12-08,True,True
2017-12-09,False,False
2017-12-10,False,False
2017-12-11,True,True
2017-12-12,True,True
2017-12-13,True,True
2017-12-14,True,True
2017-12-15,True,True
2017-12-16,False,False
2017-12-17,False,False
2017-12-18,True,True
2017-12-19,True,True
2017-12-20,True,True
2017-12-21,True,True
2017-12-22,True,True
2017-12-23,False,False
2017-12-24,False,False
2017-12-25,True,True
2017-12-26,True,True
2017-12-27,True,True
2017-12-28,True,True
2017-12-29,True,True
2017-12-30,False,False
2017-12-31,False,False
